name,state,school,weight,classification,year,wins,losses,placement,final_record,seed,opponents_beaten
Tucker Pazinko,NJ,Jackson Township,138,OPEN,2026,2,2,9,2-2,8,Robbie Fritz|Dominic Marino
Nicolas Marchetti,NJ,Delbarton,138,OPEN,2026,1,2,9,1-2,21,Brody Neill
Jayce Cappello,NJ,Toms River East,138,OPEN,2026,5,2,7,5-2,14,Massimo Gonzalez|Solomon Soriente|Joaquin Duque|Dominic Volek|Dylan Placca
Dominic Volek,NJ,Ocean Township,138,OPEN,2026,2,2,9,2-2,6,Tye Falkenstein|Nick Guastello
Tyler Oden,NJ,Middletown North,138,OPEN,2026,2,2,9,2-2,26,Anthony Caponegro|Ryan Preziosi
Jack Abramson,NJ,Pingry,138,OPEN,2026,1,2,9,1-2,18,Jordan Segal
Justin Marcello,NJ,Northern Burlington,144,OPEN,2026,1,2,9,1-2,16,Anthony Barrett
Eric Swanson,NJ,Camden Catholic,144,OPEN,2026,3,2,9,3-2,9,Dylan Biegel|Jackson Fearon|Jamal Kouzer
Attila Vigilante,NJ,Southern,144,OPEN,2026,3,2,9,3-2,12,Michael Hasson|Adrian Arbelo|CJ Anzaldo
Christian Reyes,NJ,Holmdel,144,OPEN,2026,2,2,9,2-2,19,Ariel Azeredo|Fernando Avellan
Delvan Rotte,NJ,DePaul,144,OPEN,2026,3,2,9,3-2,11,CJ Anzaldo|Christian Reyes|Michael Mirassol
Ryan Yang,NJ,Ridge,144,OPEN,2026,3,2,9,3-2,10,Brandon Mayock|Anthony Barrett|Dominic Lally
Tyler Yildiz,NJ,Seton Hall Prep,144,OPEN,2026,1,2,9,1-2,15,Jackson Fearon
Colin Smyth,NJ,Mount Olive,150,OPEN,2026,3,2,9,3-2,16,Sebastian Dobak|Anthony Russo|Bryan Dougherty
Anthony Russo,NJ,Red Bank Catholic,150,OPEN,2026,2,2,9,2-2,24,Braeden Valley|Michael Frank
Rhett Washleski,NJ,Immaculata,150,OPEN,2026,6,2,5,6-2,5,William Clasen|Joseph Petriello|Abraham Adu-Amoako|Anthony Borrometi|Jean Paul Bonnette|Parker Quinn
Brady Little,NJ,Howell,150,OPEN,2026,1,2,9,1-2,13,Daniel Gonzalez
Nicholas Wall,NJ,Middletown North,150,OPEN,2026,1,2,9,1-2,14,Jean Paul Bonnette
Nicholas Barone,NJ,Paramus Catholic,150,OPEN,2026,5,2,7,5-2,6,Damien Pierro|Abraham Adu-Amoako|Owen Garriques|Daniel Gonzalez|Owen Beneciuk
Joseph Petriello,NJ,Dumont,150,OPEN,2026,4,3,6,4-3,10,Michael Frank|Nicholas Barone|Ethan Delacruz|Anthony Molinaro
Ethan Delacruz,NJ,Bound Brook,150,OPEN,2026,2,2,9,2-2,15,Ryan Glenn|Sebastian Dobak
Louis DellaVolpe,NJ,Don Bosco,157,OPEN,2026,2,2,9,2-2,17,August Katz|Joseph Aiello
Joseph Ruiz,NJ,St. Peter's Prep,157,OPEN,2026,3,2,9,3-2,8,Daniel Byrne|Louis DellaVolpe|Finley Pazinko
Harry Asatrian,NJ,Paramus Catholic,157,OPEN,2026,2,2,9,2-2,12,Owen Miller|Levi Schulmann
Braydan Lombreglia,NJ,Pope John,157,OPEN,2026,3,2,9,3-2,13,Grant Thompson|Harry Asatrian|Matthew Miranda
Charlie Bacinsky,NJ,Roxbury,157,OPEN,2026,1,2,9,1-2,19,Matthew Miranda
James Jakub,NJ,CBA,157,OPEN,2026,5,2,7,5-2,11,Levi Schulmann|Luke Scholz|Kage Jones|Grant Thompson|Owen Miller
Luke Stempkowski,NJ,Pascack Valley,157,OPEN,2026,3,2,9,3-2,7,Finley Pazinko|August Katz|Jenier Soto Pastrana
Johnny Chirico,NJ,St. Augustine,157,OPEN,2026,1,2,9,1-2,15,Joseph Aiello
Cameron Pote,NJ,Delsea,165,OPEN,2026,2,2,9,2-2,17,Vincent Esposito|Antonio Maiden
Chad McConnell,NJ,Pompton Lakes,165,OPEN,2026,3,2,9,3-2,8,Dean Natale|Cameron Pote|Clayton Tyson
Morgan Schwarz,NJ,St. Joseph Metuchen,165,OPEN,2026,4,0,3,4-0,5,Brandon Papa|Robert Attenborough|Reid Clausi|Jake Clayton
Brandon Papa,NJ,Seton Hall Prep,165,OPEN,2026,1,2,9,1-2,12,Nico Cordova
Joshua Piparo,NJ,St. Peter's Prep,165,OPEN,2026,2,0,17,2-0,4,Matthew McCann|Evan Curnow
Matthew McCann,NJ,Bridgewater-Raritan,165,OPEN,2026,4,2,8,4-2,13,Gino Gorga|Justin Bullock|Lukas Katsigiannis|Ryan Willi
Lukas Van Veen,NJ,Pascack Valley,165,OPEN,2026,2,2,9,2-2,19,Ryan Willi|Evan Curnow
Raymond Miller,NJ,Rancocas Valley,165,OPEN,2026,2,2,9,2-2,22,Lukas Katsigiannis|Lukas Van Veen
Brendan Boyer,NJ,CBA,165,OPEN,2026,4,2,7,4-2,7,Davi Guimaraes|Matthew McCann|Joseph Paretti|Ryder Vorndran
Joseph Paretti,NJ,St. Joseph Montvale,165,OPEN,2026,2,2,9,2-2,15,Antonio Maiden|Vincent Esposito
William Capizzi,NJ,Passaic Valley,175,OPEN,2026,2,2,9,2-2,16,Kwabena Morgan|Greyson Hyland
AJ DiGiovanni,NJ,Bergen Catholic,175,OPEN,2026,3,2,9,3-2,8,Tyler Shane|William Capizzi|Zyeir Green
John Saraiva,NJ,St. John Vianney,175,OPEN,2026,2,2,9,2-2,12,Luke Shivas|Shane Morrell
Michael Colon,NJ,Lacey,175,OPEN,2026,1,2,9,1-2,20,Vincent Palermo
Olivier Paul,NJ,Delaware Valley,175,OPEN,2026,1,2,9,1-2,14,Michael Damerjian
Daniel Benbrook,NJ,Middletown North,175,OPEN,2026,3,2,9,3-2,11,Gerald Miller|Vincent Palermo|Nolan Monaghan
Gavin Geleta,NJ,Phillipsburg,175,OPEN,2026,3,2,9,3-2,7,Nicholas Daddona|Benjamin Marques|Tyler Shane
Benjamin Marques,NJ,St. Joseph Montvale,175,OPEN,2026,2,2,9,2-2,18,Greyson Hyland|Kwabena Morgan
True DiGuiseppe,NJ,Vernon,190,OPEN,2026,4,3,8,4-3,16,Youssef Ibrahim|Levi Foote|Guy Oelsner|Andrew Zeidman
Guy Oelsner,NJ,Paramus Catholic,190,OPEN,2026,2,2,9,2-2,9,Cole Torres|David Borodziuk
Chad Sadaka,NJ,Bergen Catholic,190,OPEN,2026,3,2,9,3-2,12,Artun Kirgezmis|Brian Garcia|Ashton Wall
Timmy O'Rourke,NJ,Howell,190,OPEN,2026,1,2,9,1-2,20,Brody Taylor
Greg Sawyer,NJ,Delsea,190,OPEN,2026,1,2,9,1-2,14,Deacon Frayne
Adam Sepulvada,NJ,St. Joseph Montvale,190,OPEN,2026,1,2,9,1-2,11,Finn Cavanaugh
Joe Cutruzzula,NJ,West Essex,190,OPEN,2026,3,1,9,3-1,10,David Borodziuk|Frank DiMarzio|Cole Torres
Frank DiMarzio,NJ,Morris Hills,190,OPEN,2026,2,2,9,2-2,15,Andrew Zeidman|Youssef Ibrahim
Brody Ismael,NJ,Delbarton,215,OPEN,2026,2,2,9,2-2,17,Shawn Retta|Ivan Yultukhovskyi
Shawn Retta,NJ,Keansburg/Henry Hudson,215,OPEN,2026,2,2,9,2-2,8,Aaron Veytsman|Tuguldur Bayarkhuu
Wyatt Sisco,NJ,Kinnelon,215,OPEN,2026,3,2,9,3-2,12,Ajibola Oshin|Jacob Chapman|Nick Mignone
Brett Rankin,NJ,Toms River South,215,OPEN,2026,1,2,9,1-2,13,Paul Boyle
Dante Benvenuti,NJ,Passaic Valley,215,OPEN,2026,2,2,9,2-2,14,Jacob Chapman|Everett Bell
Matthew Morrissey,NJ,Old Tappan,215,OPEN,2026,5,2,7,5-2,11,Daniel Montemurno|Andria Tatishvili|Daniel Francis|Dante Benvenuti|Ajibola Oshin
Jackson Wheeler,NJ,Lenape,215,OPEN,2026,2,2,9,2-2,7,Tuguldur Bayarkhuu|Aaron Veytsman
Grayson Abbruzzese,NJ,Paramus Catholic,215,OPEN,2026,3,2,9,3-2,15,Ivan Yultukhovskyi|Jackson Wheeler|Madden Rosario
Jayson Fouche,NJ,Pascack Valley,285,OPEN,2026,1,2,9,1-2,16,Ben Ellis
Gabe Jang,NJ,Leonia/Palisades Park,285,OPEN,2026,0,1,99,0-1,9,
Jason Gross,NJ,St. Joseph Metuchen,285,OPEN,2026,3,2,9,3-2,12,Braden Shields|Dominic Canzano|Gabriel Gomez
Kacper Trzeciak,NJ,Sayreville,285,OPEN,2026,1,2,9,1-2,13,Ronell Muns Grullon
Jarairya Jean,NJ,Neptune,285,OPEN,2026,1,2,9,1-2,14,Dominic Canzano
